id;name;muscle;description;variant;basepoint;diff
c0001;Push-up;chest;x;extra weight, reverse/different hand position, bench;2;easy-hard
c0002;Diamond push-up;chest;x;extra weight;3;hard
c0003;Barbell bench press;chest;x;incline/decline;2;easy
c0004;Dumbell bench press;chest;x;incline/decline, alternate, reverse grip;2;easy
c0005;Close-grip dumbell press;chest;x;x;2;easy
c0006;Hammer bench press;chest;x;incline/decline, alternate;2;easy
c0007;Dumbell bench fly;chest;x;incline/decline;2;easy
c0008;Dumbell upward fly;chest;x;alternate;2;easy
c0009;Chest dips;chest;x;extra weight;3;medium
c0010;Machine chest press;chest;x;incline/decline;2;easy
c0011;Machine inner chest press;chest;x;x;2;easy
c0012;Machine pec-deck fly;chest;x;x;2;easy
c0013;Machine lever pec-deck fly;chest;x;x;2;easy
c0014;Single arm cable crossover;chest;x;standing;2;easy
c0015;Single arm cable fly;chest;x;incline/decline;2;easy
c0016;Straddle planche;chest;x;practice;1;master
s0001;Bench pike push-up;shoulder;x;without bench, extra weight;3;hard
s0002;Barbell military press;shoulder;x;sitting/standing, smith;2;easy
s0003;Barbell behind neck press;shoulder;x;sitting/standing, smith;2;easy
s0004;Barbell front raise;shoulder;x;x;2;easy
s0005;Barbell upright row;shoulder;x;x;2;easy
s0006;Dumbell overhead press;shoulder;x;sitting/standing, alternate;2;easy
s0007;Scott press;shoulder;x;sitting/standing;2;easy
s0008;Arnold press;shoulder;x;sitting/standing;3;medium
s0009;Cuban press;shoulder;x;x;3;medium
s0010;Dumbell W press;shoulder;x;x;2;easy
s0011;Dumbell palms in press;shoulder;x;sitting/standing, alternate;2;easy
s0012;Dumbell lateral rise;shoulder;x;sitting/standing, alternate;2;easy
s0013;Dumbell  rear lateral rise;shoulder;x;sitting /bench lying/standing;2;easy
s0014;Dumbell scaption;shoulder;x;sitting/standing, alternate;2;easy
s0015;Dumbell rise;shoulder;x;x;2;easy
s0016;Dumbell front rise;shoulder;x;sitting/standing, alternate;2;easy
s0017;Two-arm dumbell front rise;shoulder;x;x;2;easy
s0018;Machine shoulder press;shoulder;x;x;2;easy
s0019;Cable upright row;shoulder;x;x;2;easy
s0020;Cable lateral rise;shoulder;x;x;2;easy
s0021;Cable front rise;shoulder;x;two arm;2;easy
s0022;Human flag;shoulder;x;practice;1;master
s0023;Handstand push-up;shoulder;x;practice;1;master
t0001;Triceps dips;triceps;x;extra weight;3;medium
t0002;Straight bar dips;triceps;x;x;3;medium
t0003;Korean dips;triceps;x;x;3;medium
t0004;Bench dips;triceps;x;double bench;2;easy
t0005;Close grip bench press;triceps;x;x;3;medium
